Interval,GMTIntervalEnd,Constraint Name,Constraint Type,NERCID,State,Shadow Price,Monitored Facility,Contingent Facility, Contingency Name
01/16/2026 01:00:00,01/16/2026 07:00:00,1104T1_161/69_XF@LEX1611<27815>,MA,,BINDING,-297.2486,XFMR LEX1611 - LEX1611,MPS:ODESSA1 LEX1611:161:1:9,27815
01/16/2026 01:00:00,01/16/2026 07:00:00,1368A_LN@PTRBRG_N<13856>,MA,,BINDING,-0.8556,LN PTRBRG_N - PETRSBG,NPPD:PTRBRG_N NELIGH:115:1:5,13856
01/16/2026 01:00:00,01/16/2026 07:00:00,KNOB_MARSHAL3A_LN@KNOB<10512>,MA,,BINDING,-17.4505,LN KNOB - MARSHAL3,WR OPPD:KELL SUB1399 TECH:161:2:11,10512
01/16/2026 01:00:00,01/16/2026 07:00:00,NASXFRNASHAW,FG,5577,BINDING,-109.6414,XFMR NASHUA - NASHUA,KCPL:NASHUA SHALE:345:1:11,25948
01/16/2026 01:00:00,01/16/2026 07:00:00,OSAWEBCLESOO,FG,5147,BINDING,-34.3241,LN OSAGE_OG - WEBBTAP4,GRDA OKGE:CLEVLND7 WHTETAIL:345:1:,33380
01/16/2026 01:00:00,01/16/2026 07:00:00,SOONER_SONR_SONR_PHSHFT_PS,MCE,,BREACHED,0.0000,PS SOONER - SOONER,BASE,BASE
01/16/2026 01:00:00,01/16/2026 07:00:00,TEMP53_32291,FG,32291,BINDING,-218.7515,LN WEMP - VAUG,WR:BUTL OTTERCRK:138:1:7,5782
01/16/2026 01:00:00,01/16/2026 07:00:00,TMP122_26551,FG,26551,BINDING,-44.9509,LN WR_SMKHL - SUMM,SECI MIDW:MULGRE2 SHAYS:230:1:9,12487
01/16/2026 01:00:00,01/16/2026 07:00:00,TMP128_29363,FG,29363,BINDING,-2.5534,LN RUSSETT - SBROWN,OKGE:BROWN2 BODLE CANEY1:138:7:34,333
01/16/2026 01:00:00,01/16/2026 07:00:00,TMP221_28668,FG,28668,BINDING,-34.6821,XFMR BELFELD - BELFELD,WAUE:BELFELD XF KU1A3:345 230 13.8,22236
01/16/2026 01:00:00,01/16/2026 07:00:00,TMP667_32554,FG,32554,BINDING,-70.1029,LN LITC - ASB3491,EDE WR:RAM452 NSES:161:1:5,7054
01/16/2026 01:00:00,01/16/2026 07:00:00,TMP741_32587,FG,32587,BINDING,-865.9902,XFMR MCLEODN - MCLEODN,NSP:SCOTTCO HELENAMN:345:1:9,11769
01/16/2026 01:00:00,01/16/2026 07:00:00,TMP758_28735,FG,28735,BINDING,-40.4604,XFMR NSES - NSES,WR:N345 NSES:345 161 13.8:4:11,11820
01/16/2026 01:00:00,01/16/2026 07:00:00,TMP815_32602,FG,32602,BINDING,-423.5971,LN AUR1241 - RDSPG5,AECI SPA:5WASHBR BEAVER1:161:1:5,CON1057
01/16/2026 01:00:00,01/16/2026 07:00:00,TMP990_31015,FG,31015,BINDING,-0.9803,LN LEWSCLRK - YKNTJCT,WAUE:SPIRITM MANNING2:115:1:5,30826
01/16/2026 01:00:00,01/16/2026 07:00:00,TP1214_32539,FG,32539,BINDING,-39.5623,XFMR DUNCAN - DUNCAN,OKGE CSWS:SUNNYSDE TERRY_RD:345:2:,2909
01/16/2026 02:00:00,01/16/2026 08:00:00,11043A_LN@LEX1611<12128>,MA,,BINDING,18.6978,LN LEX1611 - RICHMN2,MPS AMRN:SIBLEY OVER:345:2:9,12128
01/16/2026 02:00:00,01/16/2026 08:00:00,1104T1_161/69_XF@LEX1611<27815>,MA,,BINDING,-300.1336,XFMR LEX1611 - LEX1611,MPS:ODESSA1 LEX1611:161:1:9,27815
01/16/2026 02:00:00,01/16/2026 08:00:00,KNOB_MARSHAL3A_LN@KNOB<10512>,MA,,BINDING,-24.9283,LN KNOB - MARSHAL3,WR OPPD:KELL SUB1399 TECH:161:2:11,10512
01/16/2026 02:00:00,01/16/2026 08:00:00,NASXFRNASHAW,FG,5577,BINDING,-126.9800,XFMR NASHUA - NASHUA,KCPL:NASHUA SHALE:345:1:11,25948
