Interval,GMTIntervalEnd,Generation,Cleared DR, Cleared Demand Bid,Cleared Fixed Demand Bid,Cleared Virtual Bid, Cleared Virtual Offer,Total Demand,NSI,SMP,Min LMP,Max LMP,RegUP,RegDN,RampUP,RampDN,UncUP,Spin,Supp,Capacity Available, Fixed Obligation, Net Capacity, Curtailed Fixed Demand Bid
01/10/2026 01:00:00,01/10/2026 07:00:00,24822.765,0.000,84.700,29562.913,5980.106,12584.272,35627.7,1699.416,6.203,-67.272,233.070,445,495,317,570,589,703,703,70897,30496,40401,0
01/10/2026 02:00:00,01/10/2026 08:00:00,24797.863,0.000,82.700,29218.140,6126.293,12380.720,35427.1,1514.675,5.772,-65.606,230.748,444,453,431,330,789,703,703,71481,30133,41348,0
01/10/2026 03:00:00,01/10/2026 09:00:00,24495.923,0.000,83.700,29051.763,5939.967,12271.100,35075.4,1682.908,6.264,-67.225,231.438,459,445,707,399,1390,703,703,71159,29977,41182,0
01/10/2026 04:00:00,01/10/2026 10:00:00,24888.070,0.000,85.200,29049.591,6057.461,12021.820,35192.3,1779.176,6.332,-51.177,232.468,479,438,594,230,1379,703,703,70969,30001,40969,0
01/10/2026 05:00:00,01/10/2026 11:00:00,25270.101,0.000,87.200,29327.960,5767.684,11611.996,35182.8,1723.892,7.276,-48.403,233.767,483,436,722,202,2319,703,703,70701,30273,40428,0
01/10/2026 06:00:00,01/10/2026 12:00:00,27470.373,0.000,88.000,29924.802,5724.070,10129.233,35736.9,2003.636,12.877,-93.068,238.238,520,436,989,200,2557,697,703,69970,30910,39060,0
01/10/2026 07:00:00,01/10/2026 13:00:00,29164.069,0.000,166.100,30857.535,5101.032,8773.298,36124.7,1214.643,17.636,-119.360,243.778,583,437,1040,200,2689,667,703,69479,31698,37781,0
01/10/2026 08:00:00,01/10/2026 14:00:00,30270.353,0.000,106.400,31986.039,4778.366,8418.182,36870.8,851.257,21.684,-154.059,308.725,584,437,878,200,1435,674,703,68591,32745,35846,0
01/10/2026 09:00:00,01/10/2026 15:00:00,31885.888,0.000,119.000,32579.649,4429.353,6995.478,37128.0,715.619,25.632,-205.822,413.759,550,437,696,268,526,664,703,67942,33305,34637,0
01/10/2026 10:00:00,01/10/2026 16:00:00,34333.623,0.000,185.000,32452.412,5277.017,5084.127,37914.4,698.083,33.503,-58.675,244.585,559,427,843,200,2127,676,703,66246,33060,33185,0
01/10/2026 11:00:00,01/10/2026 17:00:00,34143.233,0.000,116.900,32110.577,5217.014,4558.710,37444.5,478.701,29.986,-24.050,167.355,618,419,794,567,403,644,703,64848,32494,32354,0
01/10/2026 12:00:00,01/10/2026 18:00:00,32335.256,0.000,190.000,31633.740,4869.682,5704.836,36693.4,746.201,22.159,-4.758,129.367,466,422,393,904,0,664,703,64433,32075,32358,0
01/10/2026 13:00:00,01/10/2026 19:00:00,30597.727,0.000,122.520,31080.719,4573.169,6751.636,35776.4,958.349,18.059,-11.996,97.014,491,510,200,803,0,617,703,66052,31728,34325,0
01/10/2026 14:00:00,01/10/2026 20:00:00,28599.176,0.000,163.763,30372.418,4893.654,8413.572,35429.8,917.991,13.004,-14.807,85.487,510,531,200,733,180,603,703,66602,31038,35563,0
01/10/2026 15:00:00,01/10/2026 21:00:00,27775.674,0.000,181.330,29893.687,4841.836,8724.489,34916.9,919.004,10.582,-14.888,100.774,505,472,335,606,846,610,703,66795,30567,36229,0
01/10/2026 16:00:00,01/10/2026 22:00:00,27890.477,0.000,180.310,29684.495,5038.468,8597.395,34903.3,990.062,11.556,-19.380,93.626,481,414,627,343,1757,696,655,66728,30352,36376,0
01/10/2026 17:00:00,01/10/2026 23:00:00,31631.558,0.000,179.700,30258.639,6131.566,6511.267,36569.9,1300.554,25.685,-31.803,125.354,549,403,868,200,1988,676,703,66075,30946,35129,0
01/10/2026 18:00:00,01/11/2026 00:00:00,34339.720,5.000,178.800,31390.532,6866.177,5695.155,38435.5,1204.455,49.219,-146.716,399.351,543,403,1029,353,696,703,703,65038,32256,32782,0
01/10/2026 19:00:00,01/11/2026 01:00:00,34356.029,0.000,196.600,32316.268,5710.305,6063.364,38223.2,1579.015,30.296,-223.897,484.908,478,433,516,621,0,664,703,64984,33545,31439,0
01/10/2026 20:00:00,01/11/2026 02:00:00,32417.549,0.000,198.900,32246.188,5666.158,7886.247,38111.2,1598.108,27.412,-182.311,398.554,477,478,224,539,95,642,703,65476,33469,32007,0
01/10/2026 21:00:00,01/11/2026 03:00:00,31763.282,0.000,186.900,32167.370,5461.252,8221.214,37815.5,1480.706,24.580,-174.573,374.225,449,488,200,579,0,676,703,66283,33346,32936,0
01/10/2026 22:00:00,01/11/2026 04:00:00,30635.552,0.000,173.800,31926.010,5490.895,9098.205,37590.7,1540.298,22.752,-209.076,429.854,530,491,220,541,0,598,703,66876,33081,33795,0
01/10/2026 23:00:00,01/11/2026 05:00:00,30285.084,0.000,83.207,31278.093,5484.563,8684.813,36845.9,1622.259,24.434,-328.502,646.570,450,470,212,613,92,676,703,66684,32407,34277,0
01/11/2026 00:00:00,01/11/2026 06:00:00,29174.124,0.000,29.700,30892.648,4921.895,8718.186,35844.2,1490.963,20.608,-268.845,531.615,424,446,438,477,987,703,703,66828,31987,34842,0
