Interval,GMTIntervalEnd,MOA,Cleared Demand Bid,Cleared Virtual Bid,Cleared Virtual Offer
01/25/2026 01:00:00,01/25/2026 07:00:00,CSWS,,179.821,254.840
01/25/2026 01:00:00,01/25/2026 07:00:00,EDE,,80.249,62.804
01/25/2026 01:00:00,01/25/2026 07:00:00,GRDA,,3.936,14.286
01/25/2026 01:00:00,01/25/2026 07:00:00,INDN,,20.500,5.800
01/25/2026 01:00:00,01/25/2026 07:00:00,KACY,,26.000,48.800
01/25/2026 01:00:00,01/25/2026 07:00:00,KCPL,,66.400,75.668
01/25/2026 01:00:00,01/25/2026 07:00:00,LES,,3.322,25.219
01/25/2026 01:00:00,01/25/2026 07:00:00,MPS,,22.657,15.446
01/25/2026 01:00:00,01/25/2026 07:00:00,NPPD,,32.978,140.748
01/25/2026 01:00:00,01/25/2026 07:00:00,OKGE,,68.156,719.809
01/25/2026 01:00:00,01/25/2026 07:00:00,OPPD,,51.567,117.869
01/25/2026 01:00:00,01/25/2026 07:00:00,SECI,,3.259,195.606
01/25/2026 01:00:00,01/25/2026 07:00:00,SPRM,,115.272,0.000
01/25/2026 01:00:00,01/25/2026 07:00:00,SPS,,9.472,61.151
01/25/2026 01:00:00,01/25/2026 07:00:00,WAUE,,47.450,53.800
01/25/2026 01:00:00,01/25/2026 07:00:00,WFEC,,24.499,168.708
01/25/2026 01:00:00,01/25/2026 07:00:00,WR,,18.400,133.872
01/25/2026 02:00:00,01/25/2026 08:00:00,CSWS,,178.246,253.334
01/25/2026 02:00:00,01/25/2026 08:00:00,EDE,,269.502,58.704
01/25/2026 02:00:00,01/25/2026 08:00:00,GRDA,,4.369,12.698
01/25/2026 02:00:00,01/25/2026 08:00:00,INDN,,0.800,5.900
01/25/2026 02:00:00,01/25/2026 08:00:00,KACY,,26.800,1.800
01/25/2026 02:00:00,01/25/2026 08:00:00,KCPL,,66.796,70.380
01/25/2026 02:00:00,01/25/2026 08:00:00,LES,,3.486,22.917
01/25/2026 02:00:00,01/25/2026 08:00:00,MPS,,23.263,22.982
01/25/2026 02:00:00,01/25/2026 08:00:00,NPPD,,38.226,134.490
01/25/2026 02:00:00,01/25/2026 08:00:00,OKGE,,64.038,731.443
01/25/2026 02:00:00,01/25/2026 08:00:00,OPPD,,56.105,109.682
01/25/2026 02:00:00,01/25/2026 08:00:00,SECI,,3.815,195.365
01/25/2026 02:00:00,01/25/2026 08:00:00,SPRM,,102.636,0.000
01/25/2026 02:00:00,01/25/2026 08:00:00,SPS,,6.353,55.962
01/25/2026 02:00:00,01/25/2026 08:00:00,WAUE,,180.350,54.600
01/25/2026 02:00:00,01/25/2026 08:00:00,WFEC,,24.439,175.240
01/25/2026 02:00:00,01/25/2026 08:00:00,WR,,19.452,130.787
01/25/2026 03:00:00,01/25/2026 09:00:00,CSWS,,176.852,250.739
01/25/2026 03:00:00,01/25/2026 09:00:00,EDE,,268.054,41.038
01/25/2026 03:00:00,01/25/2026 09:00:00,GRDA,,5.124,11.651
01/25/2026 03:00:00,01/25/2026 09:00:00,INDN,,20.400,9.400
01/25/2026 03:00:00,01/25/2026 09:00:00,KACY,,26.000,0.400
01/25/2026 03:00:00,01/25/2026 09:00:00,KCPL,,100.599,64.899
01/25/2026 03:00:00,01/25/2026 09:00:00,LES,,5.207,23.007
01/25/2026 03:00:00,01/25/2026 09:00:00,MPS,,24.323,23.993
01/25/2026 03:00:00,01/25/2026 09:00:00,NPPD,,37.301,136.146
01/25/2026 03:00:00,01/25/2026 09:00:00,OKGE,,66.335,659.606
01/25/2026 03:00:00,01/25/2026 09:00:00,OPPD,,56.760,108.166
01/25/2026 03:00:00,01/25/2026 09:00:00,SECI,,3.687,176.142
01/25/2026 03:00:00,01/25/2026 09:00:00,SPRM,,112.020,0.000
01/25/2026 03:00:00,01/25/2026 09:00:00,SPS,,6.633,52.162
